show_id,type,title,release_year,rating,duration,month,date,year
70299811,Movie,Liar's Dice,2013,TV-MA,104,July,1,2017
80206732,Movie,Nibunan,2017,TV-14,124,May,1,2018
81018565,Movie,My Little Pony Equestria Girls: Rollercoaster of Friendship,2018,TV-Y7,44,October,1,2018
70098605,Movie,Righteous Kill,2008,R,101,June,1,2019
60004484,Movie,The Lord of the Rings: The Return of the King,2003,PG-13,201,January,1,2020
80107736,Movie,Little Boxes,2016,TV-14,89,June,1,2017
81037697,Movie,MFKZ,2017,R,95,December,25,2019
80180224,Movie,Us and Them,2017,TV-MA,83,July,11,2018
80168234,Movie,Fun Mom Dinner,2017,R,82,December,31,2017
70267439,Movie,The Spectacular Now,2013,R,95,July,15,2018
80123744,Movie,Blind Date,2015,TV-14,91,October,15,2016
80244709,Movie,Ali's Wedding,2018,TV-MA,110,June,8,2018
81217437,Movie,Mandi,1983,TV-MA,155,January,1,2020
81003741,Movie,The American Meme,2018,TV-MA,98,December,7,2018
60022041,Movie,Tom and Jerry: The Magic Ring,2001,TV-Y7,60,December,15,2019
80177400,Movie,Cam,2018,TV-MA,95,November,16,2018
80146805,Movie,What Happened to Monday,2017,TV-MA,124,August,18,2017
80992769,Movie,Dark Crimes,2016,R,93,October,15,2019
80226242,Movie,Brotherhood of Blades II: The Infernal Battlefield,2017,TV-MA,120,November,28,2018
80188902,Movie,The Bad Education Movie,2015,TV-MA,87,December,15,2018
80098709,Movie,Much Ado About Nothing,2016,NR,96,October,1,2016
80192018,Movie,Star Wars: Episode VIII: The Last Jedi,2017,PG-13,152,June,26,2018
80196789,Movie,Bird Box,2018,R,124,December,21,2018
60022962,Movie,The Parole Officer,2001,R,94,August,1,2018
81047897,Movie,Verses of Love,2008,TV-14,126,March,27,2019
70295169,Movie,Hunter's Prayer,2015,R,91,October,22,2019
80160972,Movie,El fin de ETA,2017,TV-14,106,April,8,2017
80104706,Movie,Mr. Gaga: A True Story of Love and Dance,2015,TV-14,102,June,15,2017
81059656,Movie,E-Cigarettes: Miracle or Menace?,2016,TV-14,52,February,1,2019
81213877,Movie,Phamous,2018,TV-MA,108,December,31,2019
80039050,Movie,I'll See You in My Dreams,2015,PG-13,96,October,22,2019
80198859,Movie,Brother,2019,TV-MA,97,November,22,2019
80184868,Movie,The Black Room,2016,TV-MA,95,August,7,2017
81001382,Movie,Once In A Lifetime Sessions with Noel Gallagher,2018,TV-MA,66,August,1,2018
80119192,Movie,Nazi Concentration Camps,1945,TV-MA,59,March,31,2017
81035855,Movie,Lion's Heart,2013,TV-MA,111,May,9,2019
80134827,Movie,Brian Regan: Nunchucks and Flamethrowers,2017,TV-PG,61,November,21,2017
