,이름,선거구,선거구명
632,서청원,경기,화성시
633,김용,경기,화성시
634,박주홍,경기,화성시
635,홍성규,경기,화성시
636,오병주,경기,화성시
637,이원욱,경기,화성시
638,김형남,경기,화성시
639,우호태,경기,화성시
640,권칠승,경기,화성시
641,한기운,경기,화성시
642,정진섭,경기,광주시
643,소병훈,경기,광주시
644,노철래,경기,광주시
645,임종성,경기,광주시
646,이세종,경기,양주시
647,정성호,경기,양주시
648,김영우,경기,포천시 가평군
649,김창균,,포천시 가평군
650,정병국,경기,여주시 양평군
651,정동균,경기,여주시 양평군
652,김진태,강원,춘천시
653,허영,강원,춘천시
654,강선경,강원,춘천시
655,,강원,원주시
656,권성중,강원,원주시
657,김수정,강원,원주시
658,최석,강원,원주시
659,이강후,강원,원주시
660,송기헌,강원,원주시
661,이석규,강원,원주시
662,이승재,강원,원주시
663,권성동,강원,강릉시
664,김경수,강원,강릉시
665,최종문,강원,강릉시
666,박성덕,강원,동해시 삼척시
667,박응천,,동해시 삼척시
668,이철규,강원,동해시 삼척시
669,염동열,강원,태백시 횡성군 영월군 평창군 정선군
670,장승호,강원,태백시 횡성군 영월군 평창군 정선군
671,김진선,강원,태백시 횡성군 영월군 평창군 정선군
672,이양수,강원,속초시 고성군 양양군
673,김주학,강원,속초시 고성군 양양군
674,황영철,강원,홍천군 철원군 화천군 양구군 인제군
675,조일현,강원,홍천군 철원군 화천군 양구군 인제군
676,정해용,강원,홍천군 철원군 화천군 양구군 인제군
677,정우택,충북,청주시 상당구
678,한범덕,충북,청주시 상당구
679,한대수,충북,청주시 상당구
680,최현호,충북,청주시 서원구
681,오제세,충북,청주시 서원구
682,안창현,충북,청주시 서원구
683,오영훈,충북,청주시 서원구
684,송태영,충북,청주시 흥덕구
685,도종환,충북,청주시 흥덕구
686,정수창,충북,청주시 흥덕구
687,김준환,충북,청주시 흥덕구
688,오성균,충북,청주시 청원구
689,변재일,충북,청주시 청원구
690,신언관,충북,청주시 청원구
691,김도경,충북,청주시 청원구
692,권태호,충북,청주시 청원구
693,이종배,충북,충주시
694,윤홍락,충북,충주시
695,권석창,충북,
696,이후삼,충북,제천시 단양군
697,김대부,충북,제천시 단양군
698,박덕흠,충북,보은군 옥천군 영동군 괴산군
699,이재한,충북,보은군 옥천군 영동군 괴산군
700,경대수,충북,증평군 진천군 음성군
701,임해종,충북,증평군 진천군 음성군
702,김영국,충북,증평군 진천군 음성군
703,박찬우,충남,천안시
704,한태선,충남,천안시
705,이종설,충남,
706,이명성,충남,천안시
707,최민기,충남,천안시
708,박완주,충남,천안시
709,정재택,충남,천안시
710,박성필,충남,천안시
711,이창수,충남,천안시
712,양승조,충남,천안시
713,정순평,충남,천안시
714,정진석,충남,공주시 부여군 청양군
715,박수현,충남,공주시 부여군 청양군
716,전홍기,충남,공주시 부여군 청양군
717,김태흠,충남,보령시 서천군
718,나소열,충남,보령시 서천군
719,이기원,충남,보령시 서천군
720,이명수,충남,아산시
721,이위종,충남,아산시
722,이건영,충남,아산시
723,강훈식,,아산시
724,김광만,충남,아산시
725,성일종,충남,서산시 태안군
726,조한기,충남,서산시 태안군
727,한상율,충남,서산시 태안군
728,이인제,충남,논산시 계룡시 금산군
729,김종민,충남,논산시 계룡시 금산군
730,이환식,충남,논산시 계룡시 금산군
731,김동완,충남,당진시
732,어기구,충남,당진시
733,송노섭,충남,당진시
734,고영석,충남,당진시
735,전병창,충남,당진시
736,홍문표,충남,홍성군 예산군
737,강희권,충남,홍성군 예산군
738,,충남,홍성군 예산군
739,양희권,충남,홍성군 예산군
740,전희재,전북,전주시
741,김윤덕,전북,전주시
742,김광수,전북,전주시
743,유종근,전북,전주시
744,정운천,전북,전주시
745,최형재,전북,전주시
746,장세환,전북,전주시
747,성치두,전북,전주시
748,김성진,전북,전주시
749,김성주,전북,전주시
750,정동영,전북,전주시
751,채용묵,전북,군산시
752,,전북,군산시
753,김관영,전북,군산시
754,조준호,전북,군산시
755,함운경,전북,군산시
756,김영일,전북,익산시
757,이춘석,,익산시
758,이한수,전북,익산시
759,전권희,전북,익산시
760,황세연,전북,익산시
761,박종길,전북,익산시
762,한병도,전북,익산시
763,조배숙,전북,
764,권태홍,전북,익산시
765,김지수,전북,익산시
