이름,위치,선거구
1,대구,북구
1,대구,북구
2,대구,북구
1,대구,북구
1,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
1,대구,북구
0,대구,
0,대구,
0,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
0,대구,북구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
1,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
1,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,
0,대구,
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,수성구
0,대구,달서구
0,대구,달서구
1,대구,달서구
0,대구,달서구
0,,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
1,대구,달서구
1,대구,달서구
2,대구,달서구
0,대구,달서구
2,대구,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
2,대구,
1,대구,달서구
0,대구,
0,대구,달서구
0,대구,달서구
1,대구,
1,대구,달서구
0,,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
1,대구,달서구
0,대구,달서구
0,,달서구
0,대구,달서구
0,대구,달서구
0,대구,달서구
1,,달서구
0,대구,달서구
0,대구,달서구
0,대구,
0,대구,달서구
0,대구,달서구
0,대구,달성군
0,대구,달성군
0,,달성군
0,대구,달성군
0,대구,달성군
2,대구,달성군
0,대구,달성군
0,대구,달성군
0,대구,달성군
0,대구,달성군
0,대구,달성군
0,대구,달성군
0,대구,달성군
1,대구,달성군
0,대구,달성군
0,인천,중구
0,인천,중구
0,인천,중구
0,인천,중구
0,인천,중구
1,인천,중구
0,인천,중구
2,인천,중구
0,인천,중구
1,인천,중구
0,인천,중구
0,인천,중구
0,인천,중구
1,인천,중구
0,인천,중구
0,인천,동구
0,인천,
0,인천,동구
0,인천,
0,인천,동구
0,인천,동구
0,,동구
0,인천,동구
0,인천,동구
0,인천,동구
2,인천,동구
0,인천,동구
0,인천,동구
0,인천,남구
0,인천,
0,인천,남구
0,인천,남구
0,인천,남구
1,인천,남구
0,인천,남구
0,인천,남구
0,인천,남구
0,인천,남구
0,인천,남구
1,인천,남구
1,인천,남구
1,인천,남구
1,인천,남구
1,인천,남구
0,인천,남구
0,인천,남구
0,인천,남구
0,인천,남구
0,,남구
0,,남구
0,인천,남구
0,인천,남구
0,인천,남구
1,인천,연수구
0,인천,연수구
1,인천,연수구
1,인천,연수구
0,인천,연수구
0,인천,연수구
0,인천,연수구
2,인천,연수구
1,인천,연수구
0,인천,연수구
0,인천,연수구
1,인천,연수구
0,인천,연수구
0,인천,
0,인천,연수구
0,,연수구
0,인천,
2,인천,연수구
0,인천,연수구
0,인천,연수구
0,인천,연수구
1,인천,연수구
0,인천,남동구
0,인천,남동구
1,인천,남동구
0,인천,남동구
0,인천,남동구
0,인천,남동구
2,인천,남동구
0,인천,남동구
0,인천,남동구
0,인천,남동구
1,인천,남동구
0,인천,남동구
0,인천,남동구
0,인천,남동구
0,인천,
0,인천,남동구
2,인천,남동구
0,인천,남동구
1,,남동구
0,인천,남동구
0,인천,남동구
0,인천,남동구
0,인천,남동구
0,,남동구
0,인천,남동구
0,인천,남동구
0,인천,남동구
0,인천,남동구
0,,부평구
0,인천,부평구
0,인천,부평구
0,인천,부평구
0,,
0,인천,부평구
0,인천,부평구
0,인천,부평구
1,인천,부평구
0,인천,부평구
0,인천,
1,인천,부평구
0,인천,부평구
0,인천,부평구
1,인천,부평구
0,인천,부평구
0,인천,부평구
0,인천,부평구
0,인천,부평구
1,인천,
1,인천,부평구
0,인천,부평구
0,인천,부평구
1,,부평구
0,인천,부평구
0,인천,부평구
2,인천,부평구
0,인천,부평구
0,인천,부평구
2,인천,부평구
0,인천,부평구
0,인천,부평구
0,인천,부평구
2,인천,계양구
0,인천,계양구
0,인천,계양구
0,인천,계양구
1,인천,계양구
0,인천,계양구
0,인천,계양구
0,인천,계양구
2,인천,계양구
0,인천,계양구
0,인천,계양구
0,인천,계양구
0,인천,계양구
0,인천,계양구
1,인천,서구
1,인천,
0,인천,서구
0,인천,서구
0,인천,
0,인천,서구
1,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
1,인천,서구
0,인천,서구
2,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
1,인천,서구
0,인천,서구
0,인천,서구
0,인천,서구
2,인천,강화군
0,인천,강화군
0,인천,강화군
0,인천,강화군
0,인천,강화군
2,인천,강화군
0,인천,강화군
1,인천,강화군
0,인천,강화군
0,인천,강화군
0,인천,강화군
0,인천,강화군
0,,강화군
0,인천,강화군
