성명,선거구1,선거구2,여당평가,당선여부,득표수(득표율),학력,과목,경력_지역,인지도,지역구분
김홍열,충남,청양군,74.43499999999997,False,-0.1945057645572711,,경영,False,,1
임춘근,충남,예산군,74.43499999999997,False,-0.19110728120867787,,,False,,1
방한일,충남,예산군,74.43499999999997,True,0.042243961768860236,,,False,0.0139979209060268,1
전병성,충남,예산군,74.43499999999997,False,-0.202907185107094,,법,False,0.041621651298696126,1
김기영,,예산군,74.43499999999997,True,-0.02846604539584203,,행정,False,0.9185159000779044,1
오평근,전북,전주시 완산구,,True,0.4758655927034869,,행정,False,0.016017029801355404,
이도영,전북,전주시 완산구,74.43499999999997,False,-0.5873967253378096,,행정,False,0.21831799799518747,2
이병도,전북,전주시 완산구,74.43499999999997,True,0.7293762341963319,,행정,True,0.13225943736955922,2
김종철,전북,전주시 완산구,74.43499999999997,False,-0.8447991704218674,,경영,False,0.2522012941162271,2
김이재,전북,전주시 완산구,74.43499999999997,True,0.3939070503031187,,,False,0.07174175703104459,
최명철,전북,전주시 완산구,74.43499999999997,False,-0.4934724382440783,,,False,0.02374097327033679,2
김희수,전북,전주시 완산구,74.43499999999997,True,0.9793867328731118,,경영,False,0.21490556757328036,
김상휘,전북,전주시 완산구,74.43499999999997,False,-1.1353525342219202,,행정,False,0.028487054673253926,2
송성환,전북,전주시 완산구,74.43499999999997,True,1.3309407495593917,,,False,,2
오영철,전북,전주시 완산구,74.43499999999997,False,-1.5094785078344404,,,True,0.017566980595617336,2
김명지,전북,전주시 덕진구,74.43499999999997,True,0.47454146017897203,,행정,False,0.17765256316523995,2
김종담,전북,전주시 덕진구,74.43499999999997,False,,,경영,True,,2
여민영,전북,전주시 덕진구,74.43499999999997,False,-2.357395797859953,,,,0.0011400250755050918,2
국주영은,전북,전주시 덕진구,74.43499999999997,True,1.2735574450916027,,,False,0.003020643251424804,2
이경희,전북,전주시 덕진구,74.43499999999997,False,-1.4582197205482943,,경영,False,0.7465384512627374,2
최찬욱,전북,전주시 덕진구,74.43499999999997,True,0.5491857268061396,,,False,0.0027194429953517627,2
,전북,전주시 덕진구,74.43499999999997,False,-1.1385895615741115,,,True,0.05369419302273906,2
김현탁,,전주시 덕진구,74.43499999999997,,-2.2570126471752565,,,True,0.010019501116667452,2
이명연,전북,전주시 덕진구,74.43499999999997,True,0.9501260801688882,,행정,True,0.001903420739359376,2
윤중조,,전주시 덕진구,74.43499999999997,,-1.1323580004403726,,법,False,0.0010947966584771995,2
나기학,전북,군산시,,True,0.8701971752454009,,,True,0.0028669579573259666,2
김용권,전북,,,False,,,,False,0.054625932484750436,2
김종식,전북,군산시,74.43499999999997,,0.822357260647291,,행정,False,0.1191154913545324,2
,전북,군산시,74.43499999999997,False,-1.0007283494465022,,,True,0.003158317648783548,2
조동용,전북,군산시,74.43499999999997,,0.44744739280514617,,,True,0.005615752836305268,2
,전북,군산시,,False,-0.5576566507211681,고려대,행정,,,2
문승우,전북,군산시,74.43499999999997,True,1.1640782621202177,,,False,0.002984961764424552,2
김문원,전북,,74.43499999999997,False,-2.358739686425244,,,True,0.007998534087234891,2
박창수,전북,군산시,74.43499999999997,False,-2.5744563780615684,,,False,0.04861224905681275,2
김안식,전북,군산시,74.43499999999997,False,-2.924667781165403,,,False,0.004148005386713772,2
김대오,전북,익산시,74.43499999999997,True,0.7350505995760039,,,,0.047040287262874264,2
배승철,전북,익산시,,False,-0.8823782505797535,,,False,0.004356399904896889,2
김정수,전북,익산시,74.43499999999997,True,0.7201877270115452,,,False,0.5690749220554782,2
양승무,전북,익산시,74.43499999999997,False,-1.96981596756942,,행정,False,0.001383704088881503,2
차유성,,익산시,74.43499999999997,False,,,,False,0.0010414413590338065,2
,전북,익산시,74.43499999999997,True,0.1532397521363005,,행정,,0.1927180895247488,2
박노엽,전북,,74.43499999999997,False,-2.0268167876681136,,경영,True,0.0016695767467411991,2
이현숙,전북,익산시,74.43499999999997,False,-2.29620993168725,,,False,0.09106648397777516,2
손문선,전북,익산시,74.43499999999997,False,-1.2861421067419978,,,False,,2
최영규,전북,익산시,,True,,,,False,0.02566740671319687,2
박종열,전북,익산시,74.43499999999997,False,-1.2174658499070827,,경영,False,0.022057200202575657,2
김철수,전북,정읍시,74.43499999999997,True,0.5541371872970141,,경영,False,0.04671652906705034,2
고영규,전북,정읍시,74.43499999999997,False,-0.7712899571954985,,행정,False,0.00159712568071786,2
김대중,전북,정읍시,74.43499999999997,True,1.1343102750090974,,,True,0.9501696268170029,2
황혜숙,전북,정읍시,74.43499999999997,False,-1.335250777805122,,행정,False,0.0015167184352287751,2
,전북,남원시,,True,0.3365613671529357,,,False,0.06678544046337355,2
배영길,전북,남원시,74.43499999999997,False,,,,False,0.1968443615830028,2
강용구,전북,남원시,74.43499999999997,,0.40509237205180143,,행정,False,0.2263703214589056,2
임종명,,,74.43499999999997,False,-0.6221149784317681,,,False,0.509999876494718,2
황영석,전북,김제시,74.43499999999997,True,-0.05161415769700235,,행정,False,,2
장덕상,전북,김제시,74.43499999999997,False,-0.104450183323681,,행정,False,0.1909839093731802,
나인권,전북,김제시,74.43499999999997,,0.38567906614143177,,,False,0.13058493978947475,2
임영택,전북,김제시,74.43499999999997,False,-0.5766828248121187,,경영,False,0.31986325178303504,
두세훈,전북,완주군,74.43499999999997,True,0.7153007880112351,서울대,,,0.08227721428949111,2
권오석,전북,완주군,74.43499999999997,False,-1.9096499774521687,,,False,,2
유승재,전북,완주군,,False,-1.6442101919159668,,,False,0.4078850704982451,2
이한기,전북,진안군,74.43499999999997,True,1.0786931149123449,고려대,,False,0.016865750950866943,2
이재선,,진안군,74.43499999999997,False,-1.3865787347888057,,,False,0.9831342490491328,2
황의탁,전북,무주군,74.43499999999997,True,0.5598418737133294,,,True,0.6387251843792943,2
박우만,전북,무주군,74.43499999999997,False,-0.8333880620116491,,,False,0.36127481562070574,2
이희숙,전북,장수군,,False,-0.5719237085801182,,경영,False,,2
박용근,전북,,74.43499999999997,True,,,법,False,0.9915728299084801,2
박희중,전북,장수군,74.43499999999997,False,-2.193480506639046,,,False,0.00031426906820354063,2
한완수,전북,임실군,74.43499999999997,True,0.3909970352363074,,,False,,2
황호동,,임실군,74.43499999999997,False,-2.7616320176015754,,,False,0.010591685576718756,2
문영두,전북,임실군,74.43499999999997,False,-0.8636969378938429,,경영,False,0.008429410192585677,2
최영일,전북,순창군,74.43499999999997,True,-0.20136703675635476,,경영,False,0.4808613081973149,
,전북,순창군,,False,-1.0542459151726495,,,False,0.2399482281445732,
강대희,전북,순창군,74.43499999999997,False,-1.0577955263394363,,,False,0.2791904636581119,2
성경찬,전북,고창군,74.43499999999997,True,0.3371141203370576,,,False,0.017016759962019803,2
이호근,전북,고창군,74.43499999999997,False,-0.575237313779034,,행정,False,0.7401876584541862,2
김만기,전북,고창군,74.43499999999997,True,0.2816740058613235,,경영,False,0.21679950601346426,2
,전북,고창군,74.43499999999997,False,-0.5875245760524992,,,False,0.025996075570329652,2
최훈열,전북,부안군,,True,0.9718888417545556,,,False,0.38582860825495424,2
,전북,부안군,74.43499999999997,False,-1.3478471830883352,,,,0.6141713917450458,2
박문옥,전남,목포시,74.43499999999997,True,0.0679408803421705,,정치,False,,2
강성휘,전남,목포시,74.43499999999997,False,-0.3240571314723754,,행정,False,0.04767798918188517,2
김인국,전남,목포시,74.43499999999997,False,-3.1889481495699084,,,,0.05335441255257303,2
조옥현,전남,목포시,74.43499999999997,True,0.6511800086723336,,,False,0.032379958202943086,2
이방수,전남,목포시,74.43499999999997,False,-0.8614148604050893,,,False,0.03909220627871942,2
최선국,전남,,74.43499999999997,,0.4360907493985908,,,True,0.06925594533121647,2
고경석,전남,목포시,74.43499999999997,False,,,,,0.1239390807722245,2
,전남,목포시,74.43499999999997,True,0.2777503698666313,,,False,0.17598534559157114,2
김탁,전남,목포시,74.43499999999997,False,-0.9000388553415367,,,False,0.14047771095204029,2
박권철,전남,목포시,74.43499999999997,False,-2.041011235769403,,경영,False,0.00926648971294885,2
전경선,전남,목포시,74.43499999999997,True,0.7396885838242344,,,True,0.17905280966532222,2
배종범,전남,목포시,74.43499999999997,False,-0.8364449706925696,,행정,False,0.051518965784337366,2
이광일,전남,여수시,74.43499999999997,True,0.96367629939196,,행정,True,0.17576823085227386,2
윤문칠,전남,여수시,74.43499999999997,False,-1.1233580376329988,,,False,0.017740247963382274,2
강문성,전남,여수시,74.43499999999997,True,0.5855362219012229,,행정,True,0.06989711177449852,2
최대식,전남,여수시,74.43499999999997,False,-0.6931471805599454,,,True,0.0955386121844823,2
민병대,전남,여수시,74.43499999999997,True,0.609783105380688,,,,0.2708436869042009,2
서정한,,,74.43499999999997,False,-0.7452232567291743,,,,0.025321460347201362,2
최무경,전남,여수시,74.43499999999997,True,0.6207738718061441,,,True,0.036257720120799336,2
주연창,전남,여수시,74.43499999999997,False,-0.7869091939730604,,경영,False,0.016645765549566018,2
최병용,전남,여수시,74.43499999999997,True,1.0873159245453847,,,,0.07735282488468836,2
박선왜,전남,여수시,74.43499999999997,False,-1.2646269339409435,,,False,0.01310569827103391,2
강정희,전남,여수시,,True,0.8298373113047082,고려대,,,0.1889088594985292,2
서일용,전남,여수시,74.43499999999997,False,-0.9566806939183202,고려대,,False,0.012619781649343966,2
서동욱,전남,순천시,74.43499999999997,True,1.2910012024473012,,행정,False,0.10828543056541554,2
최정원,,순천시,74.43499999999997,False,-1.4408308563109333,,경영,False,0.8904435543338756,2
오하근,전남,순천시,74.43499999999997,True,0.8314402616984242,고려대,,True,0.0006823260608845224,2
서광철,전남,순천시,74.43499999999997,False,,,,False,0.0005886890398243534,2
이민준,전남,나주시,74.43499999999997,True,0.8497185755266985,,,False,0.07142014180873649,2
최승현,전남,,74.43499999999997,False,-2.0945439957957834,,,False,,2
김종운,전남,나주시,74.43499999999997,,-1.7392495239560908,,행정,False,0.07843243850640265,2
최명수,전남,나주시,74.43499999999997,True,0.3112615282718156,,,False,0.05522045148826239,2
김옥기,전남,나주시,74.43499999999997,False,-0.4599223161372811,,경영,False,0.022825202436113703,2
이용재,,,74.43499999999997,True,-0.16748742281814885,,경영,False,0.7224460695116582,2
남기호,전남,광양시,74.43499999999997,False,-1.4102583342372248,,행정,False,,2
이기연,전남,광양시,74.43499999999997,False,-0.7538022268279059,,경영,False,0.14682892304082815,2
김길용,전남,광양시,74.43499999999997,True,0.6176830933327699,,,True,0.06109547583712389,2
정현완,전남,,74.43499999999997,False,-0.8086877981870955,,,False,0.0072389470120901795,2
김기성,전남,담양군,,True,0.7287812730728055,,,False,0.04677366932591931,2
김진호,전남,담양군,74.43499999999997,False,-0.9401651910391936,,,True,0.9532263306740808,2
유성수,전남,장성군,74.43499999999997,True,-0.04271747453751902,,,,0.013398999826231257,2
정철,전남,장성군,74.43499999999997,,,,경영,False,0.4935452987934471,2
김한종,전남,장성군,74.43499999999997,True,0.6275114420822033,,,False,0.4919245734367727,2
