이름,선거구,선거구명,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,학교,과목,인지,지역구분
이강무,,은평구,국회의원,20,3,남,rev,65,정당인,42.84,False,-4.485033035278267,,,0.001221863047297658,2
유지훈,서울,은평구,국회의원,20,3,남,rem,34,정당인,42.84,False,-5.181548741576249,,,0.006183755914833195,
최병호,서울,은평구,국회의원,20,3,남,rem,49,,42.84,False,-3.079299752926712,연세대,경제,0.008382443744759983,2
이재오,서울,은평구,국회의원,20,3,남,rem,,,42.84,False,-0.913828351925465,고려대,,0.40336025607146575,2
이성헌,서울,서대문구,국회의원,20,1,남,con,57,정당인,42.84,False,-0.4182494999708401,,,0.00642340922118697,2
우상호,서울,서대문구,국회의원,20,2,남,rev,53,,42.84,True,0.16436039924752294,연세대,행정,0.16495096997050646,2
이종화,서울,서대문구,국회의원,20,3,남,rev,43,,42.84,False,-3.8935045469289817,,,0.011369315030750823,2
김영준,,서대문구,국회의원,20,3,남,rem,40,,42.84,False,-3.5555423179733348,,,,
정두언,서울,서대문구,국회의원,20,,남,con,59,,42.84,False,-0.4325478707001769,서울대,,0.6438478910932997,2
김영호,서울,서대문구,국회의원,20,2,,rev,48,정당인,42.84,True,-0.06917106151022646,,정치,0.11970308021929912,2
홍성덕,서울,서대문구,국회의원,20,3,남,rev,70,정당인,42.84,False,-2.082413623341268,,,0.004345532061158086,2
안대희,서울,마포구,국회의원,20,1,남,con,61,,42.84,False,-0.7125503844278387,서울대,법,0.011924293806585088,2
노웅래,서울,마포구,국회의원,20,2,남,rev,58,,42.84,True,0.05790902598149191,,,0.018109049483659472,2
홍성문,서울,마포구,국회의원,20,3,남,rev,55,,42.84,False,-2.312235271733975,고려대,법,0.0010826339022969322,2
이상이,서울,마포구,국회의원,20,3,남,rem,52,,42.84,False,-4.185386843230344,,,0.0685954152072239,2
강승규,서울,마포구,국회의원,20,3,남,rem,52,,42.84,False,-3.1213950256950818,,,0.004186158428131932,2
김성동,서울,마포구,국회의원,20,1,,con,61,정당인,42.84,False,-0.7696734527674199,고려대,정치,0.005790062907237186,2
손혜원,서울,마포구,국회의원,20,2,여,rev,61,,42.84,True,-0.3268940363542169,,,0.8805818441694471,2
김철,서울,마포구,국회의원,20,3,남,rev,51,정당인,42.84,False,-1.693646675095518,연세대,,0.005245696425385311,2
배준호,서울,마포구,국회의원,20,3,남,rev,31,정당인,42.84,False,-3.1963608352237074,고려대,정치,0.0016444431359055947,2
하윤정,서울,마포구,국회의원,20,3,여,rev,28,정당인,42.84,False,-3.9380639561370177,,,0.0008268512841128206,2
정명수,서울,마포구,국회의원,20,3,남,rem,49,,42.84,False,-3.1412380469257655,연세대,,0.002013551250014725,2
이기재,서울,양천구,국회의원,20,1,남,con,47,,42.84,False,-0.43502043356805176,연세대,,0.021028188625976482,3
황희,서울,양천구,국회의원,20,2,남,rev,48,정당인,42.84,True,0.055259623254300005,연세대,,0.3049100648528251,3
염동옥,서울,양천구,국회의원,20,3,남,rem,52,,42.84,False,-2.4570663609795362,연세대,경제,0.009609216614119698,3
김용태,서울,양천구,국회의원,20,1,남,con,48,,42.84,True,-0.3460816432091585,서울대,정치,0.6061675484587339,3
이용선,서울,양천구,국회의원,20,2,남,rev,58,정당인,42.84,False,-0.43037147479165866,서울대,,0.0463453278417113,3
김현배,서울,양천구,국회의원,20,3,남,rev,55,,42.84,False,-1.5253754809998417,고려대,,0.011939653606633616,3
구상찬,서울,강서구,국회의원,20,1,남,con,58,정당인,42.84,False,-0.7578904191377066,,,0.004173302219905167,2
금태섭,서울,강서구,국회의원,20,2,남,rev,48,,42.84,True,-0.5342107038569482,서울대,법,0.09068480513202053,2
김영근,서울,강서구,국회의원,20,3,남,rev,53,,42.84,False,-1.6722524157181011,,정치,0.08665346080490477,2
신기남,서울,강서구,국회의원,20,3,남,rev,63,,42.84,False,-2.686745214301843,서울대,법,0.029626072444893407,2
백철,서울,강서구,국회의원,20,3,남,rem,59,,42.84,False,-2.421402615649208,,법,0.0027609114210225823,2
김성태,서울,강서구,국회의원,20,1,남,con,57,,42.84,True,-0.1828447403779243,,행정,,2
진성준,서울,강서구,국회의원,20,2,남,rev,48,,42.84,False,-0.4831075842072475,,법,0.013507346695832765,2
김용성,서울,강서구,국회의원,20,3,남,rev,56,정당인,42.84,False,-1.7700452938652294,,행정,0.002076155509574868,2
김인자,서울,강서구,국회의원,20,3,여,,57,,42.84,False,,,,0.0007770542766359173,2
유영,서울,강서구,국회의원,20,1,남,con,68,,42.84,False,-0.7588697346685269,서울대,외교,,2
한정애,서울,강서구,국회의원,20,2,여,rev,51,,42.84,True,-0.2812350497326544,,,0.007271908075133506,2
김성호,서울,강서구,국회의원,20,3,남,rev,54,,42.84,False,-1.364547985503198,서울대,정치,0.015156850159172825,2
김종민,서울,강서구,국회의원,20,3,남,rev,45,,42.84,False,-3.3063282363188953,,,0.2452784821684766,2
김승제,서울,구로구,국회의원,20,1,남,con,64,정당인,42.84,False,-0.6800432955967743,연세대,경영,0.002366519580988752,2
이인영,서울,구로구,국회의원,20,2,남,rev,51,,42.84,True,0.06202852270396163,고려대,,0.1742886821715666,
김철근,서울,구로구,국회의원,20,3,남,rev,47,,42.84,False,-2.121270320810704,,경제,0.004987074052690989,2
이호성,서울,구로구,국회의원,20,3,남,rev,48,정당인,42.84,,-3.7362782535749264,,,0.08096123738225298,2
이근미,서울,구로구,국회의원,,3,여,rem,39,정당인,42.84,False,-4.734924816058654,,,0.0005951334562961582,2
강요식,서울,구로구,국회의원,20,1,남,con,54,정당인,42.84,False,-0.7943845411082785,,정치,0.0030366597074709856,2
박영선,서울,구로구,국회의원,20,2,여,rev,56,,42.84,True,0.13905756093537275,,,0.6271504499386276,2
정찬택,서울,구로구,국회의원,20,3,남,rev,50,,42.84,False,-1.949192036844404,연세대,법,0.0004402182921734286,2
김선경,서울,,국회의원,20,3,남,rem,31,정당인,42.84,False,-4.050628085192948,,,0.10617402541793257,2
한인수,서울,금천구,국회의원,20,1,남,con,69,,42.84,False,-0.6560705841878157,연세대,경제,0.0325398260596998,2
이훈,서울,금천구,국회의원,20,2,남,rev,50,정당인,42.84,True,-0.5060670463068955,,,0.9613730452156444,2
정두환,서울,금천구,국회의원,20,3,남,rev,55,,42.84,False,-1.1648791143432764,연세대,행정,0.0048809262474180225,2
유재운,서울,금천구,국회의원,20,3,남,rem,60,,42.84,False,-3.3831642172359797,연세대,,0.0012062024772378182,2
박선규,서울,영등포구,국회의원,20,1,남,con,54,정당인,42.84,False,-0.4314259721357389,,,0.08014569412771458,3
김영주,,영등포구,국회의원,20,2,여,rev,60,,42.84,True,-0.20655737380949868,,경제,0.42649478727760304,
강신복,서울,영등포구,국회의원,20,3,남,rev,55,정당인,42.84,False,-2.092758480905645,,,0.002408545343460716,3
정재민,서울,영등포구,국회의원,20,3,남,rev,35,정당인,42.84,False,-3.219072021457812,,,0.03563827583516328,3
권영세,서울,영등포구,국회의원,20,1,남,con,57,,42.84,False,-0.5177832131736556,,행정,0.08073721823424375,3
신경민,서울,영등포구,국회의원,20,2,남,rev,62,,42.84,,-0.3779567655747154,서울대,,0.29875710998120114,3
김종구,서울,영등포구,국회의원,20,3,남,rev,61,,42.84,False,-1.4798118040004054,,행정,0.07182254193045402,3
성성봉,서울,영등포구,국회의원,20,3,남,rem,37,,42.84,False,-4.982317190795927,,,0.0007334207087813561,3
진재범,서울,영등포구,국회의원,20,3,남,rem,53,,,False,-3.985685127753523,,법,0.0032624065613780944,3
이상휘,서울,동작구,국회의원,20,1,남,con,52,,42.84,False,-0.6457543836841569,,,0.0034872580750044306,3
김병기,서울,동작구,국회의원,20,2,남,rev,54,정당인,42.84,True,-0.5665338197566601,,,0.028755346673047962,3
장환진,서울,동작구,국회의원,20,3,남,rev,51,,42.84,False,-1.1242470970936944,연세대,정치,0.0004472508536102702,3
이유진,서울,동작구,국회의원,20,3,여,rem,40,,42.84,False,-3.468480413171376,서울대,,0.1247765126230469,3
김주식,서울,동작구,국회의원,20,3,남,rem,31,정당인,42.84,False,-4.651562868642506,,,0.000995188581668248,3
나경원,서울,동작구,국회의원,20,1,여,con,52,,42.84,True,-0.29554633748316106,서울대,법,0.703800595327824,3
허동준,서울,동작구,국회의원,20,2,남,rev,47,정당인,42.84,False,-0.8041742756332656,,행정,0.004342816459795704,3
장진영,서울,동작구,국회의원,20,3,남,rev,44,,42.84,False,-1.146126518061301,,법,0.1274772284366852,3
이상현,서울,동작구,국회의원,20,3,남,rem,33,정당인,42.84,False,-5.134746775279648,,,0.005917802969317458,3
원영섭,서울,관악구,국회의원,20,1,남,con,38,,42.84,False,-1.3929835835340183,서울대,,0.006664992831942789,2
유기홍,서울,관악구,국회의원,20,2,남,rev,57,,42.84,False,-0.5239481817176554,서울대,,0.036643901506090405,2
김성식,서울,관악구,국회의원,20,3,남,rev,57,정당인,42.84,True,-0.4870424147895387,서울대,경제,0.08827688136535708,2
이동영,서울,관악구,국회의원,20,3,남,rev,44,정당인,42.84,False,-3.4902743719196776,,경영,0.03068606785363843,2
연시영,서울,관악구,국회의원,20,3,여,rem,26,정당인,42.84,False,-4.672504324046507,,경영,0.0035264321242940563,2
오신환,서울,관악구,국회의원,20,1,남,con,45,,42.84,True,-0.5492472389093704,고려대,,0.4433959636496811,2
정태호,서울,관악구,국회의원,20,2,남,rev,53,정당인,42.84,False,-0.5792487368464907,서울대,,0.1692552984155701,2
이행자,서울,관악구,국회의원,20,3,여,rev,43,정당인,42.84,False,-1.1974273504792687,,,0.11441484438161305,
송광호,서울,관악구,국회의원,20,3,남,rev,56,,42.84,False,-4.421795157255358,,,0.06675350556105024,2
이상규,서울,관악구,국회의원,20,3,남,rem,51,,42.84,False,-3.946461371362002,서울대,법,0.04038211231076279,2
이혜훈,서울,서초구,국회의원,20,1,여,con,51,,,True,0.24981879027879575,,경제,0.751394129186438,1
이정근,서울,서초구,국회의원,20,2,여,rev,53,,42.84,False,-0.9405943747735369,,경영,0.038138999304069485,1
이한준,서울,서초구,국회의원,20,,남,rev,74,,42.84,False,-1.7913353835806332,서울대,,0.0037425762630500783,1
박성중,서울,서초구,국회의원,20,1,남,con,57,,42.84,True,-0.1518280252027559,,행정,0.062326785176543165,1
김기영,서울,서초구,,20,2,남,rev,50,,42.84,False,-0.5776074296889145,,법,0.03768844138357532,1
조순형,서울,서초구,국회의원,20,3,남,rev,72,정당인,42.84,False,-1.7946389267387226,,,0.02264527304207964,1
김수근,서울,서초구,국회의원,20,3,남,rem,32,,42.84,False,-3.7595958577006257,,경영,0.08406379564424428,1
이종구,서울,강남구,국회의원,20,1,남,con,65,정당인,42.84,True,0.14066091846505988,서울대,경제,0.06209035854347171,1
김성곤,서울,강남구,국회의원,20,,남,rev,63,,42.84,False,-0.2370045719827579,,,0.023932901540697347,1
김종훈,서울,강남구,국회의원,20,1,남,con,63,,42.84,False,-0.2532762452649633,연세대,경영,0.05164908485864385,1
전현희,서울,강남구,국회의원,20,2,여,rev,51,,42.84,True,0.025370277510239868,고려대,법,0.1552885575210222,1
김광종,서울,강남구,국회의원,20,3,남,rem,53,,42.84,False,-3.1631662388320936,서울대,외교,0.0017945870916580109,1
이은재,서울,강남구,국회의원,20,,여,con,64,,42.84,True,0.2385229867211605,,행정,0.7006306736026101,1
전원근,서울,,국회의원,20,2,남,rev,62,정당인,42.84,False,-0.4765324720094455,,정치,0.001456651107932351,1
양한별,서울,강남구,국회의원,20,3,남,rem,59,정당인,42.84,False,-4.138184478290545,,법,0.0012274731074596822,1
양영철,서울,강남구,국회의원,20,3,남,con,71,,42.84,False,-4.646139714534846,,,0.001929712626504684,1
박인숙,서울,송파구,국회의원,20,1,여,con,67,,42.84,True,-0.2604208091336536,서울대,,0.14541366708695808,1
박성수,서울,송파구,국회의원,,2,남,rev,51,,42.84,False,-0.3545060875714968,고려대,법,0.018643684494792843,1
김창남,서울,송파구,국회의원,20,3,남,,46,,42.84,False,-1.7994437068282827,,행정,0.006580735512734173,1
최명길,서울,송파구,국회의원,20,2,남,rev,55,정당인,42.84,True,-0.2717426366180687,서울대,정치,0.534035477431937,1
이래협,서울,송파구,국회의원,20,3,남,rev,58,,42.84,False,-1.7578866388101753,,경제,0.0005246996814688673,1
김영순,서울,송파구,국회의원,20,3,여,rem,66,,42.84,False,-0.452992170770393,,정치,0.00570623436057971,1
채현,서울,송파구,국회의원,20,3,남,rem,45,,42.84,False,-4.212992889631631,고려대,법,0.009058058133336804,1
김을동,서울,송파구,국회의원,20,1,여,con,70,,42.84,False,-0.4370644285811756,,법,0.23682830323212625,1
남인순,서울,송파구,,20,2,여,rev,57,,42.84,True,-0.2261124365054549,,,0.042324498940911726,1
차성환,서울,송파구,국회의원,20,3,남,rev,54,정당인,42.84,False,-1.7150700050075085,연세대,행정,0.0008846411251546922,1
신동우,서울,강동구,국회의원,20,1,남,con,62,,42.84,False,,,경영,0.10174720227368876,1
진선미,서울,강동구,국회의원,20,2,여,rev,48,,42.84,True,-0.2665921271371092,,법,0.18873544640117745,1
신동만,서울,강동구,국회의원,20,3,,rev,49,,42.84,False,-1.9275121388647516,,,0.0012750633091368256,1
박승진,서울,강동구,국회의원,20,3,남,rem,48,,42.84,False,-3.7187368916600025,,경영,0.001830312760883143,1
이재영,서울,강동구,국회의원,20,1,남,con,40,,42.84,False,-0.5084485314122528,연세대,행정,0.4666673645987142,1
심재권,서울,강동구,국회의원,20,2,남,rev,69,,42.84,True,-0.3759086813864135,,정치,0.02571935159782975,1
강연재,서울,강동구,국회의원,20,3,여,rev,40,,42.84,False,-1.3454041062154982,고려대,경제,0.21402525905856995,1
김무성,부산,중구 영도구,국회의원,20,1,남,con,64,,42.84,True,,,경영,0.8974266041737801,1
