이름,선거구명1,선거구명2,종류,회,기호,남여,정당,연령,직업,여당평가,당선여부,득표율,지역구분
고남석,인천,연수구,구시군의장선거,5,2,,rev,52,정당인,47.25,True,4.595119850134589,1
최영배,인천,연수구,,5,3,남,rem,55,,,False,-1.759437692895842,1
최병덕,인천,남동구,구시군의장선거,,1,남,con,52,정당인,47.25,False,,2
배진교,인천,남동구,구시군의장선거,5,3,남,rev,,정당인,47.25,True,4.595119850134589,2
박윤배,인천,부평구,구시군의장선거,5,1,남,con,58,,47.25,False,,2
홍미영,인천,부평구,구시군의장선거,5,2,여,rev,54,정당인,47.25,True,4.595119850134589,2
김현상,인천,부평구,구시군의장선거,5,3,남,rem,52,,47.25,False,-1.7833931824991636,2
오성규,인천,계양구,구시군의장선거,5,1,남,con,56,정당인,47.25,False,,2
박형우,인천,계양구,구시군의장선거,5,2,남,rev,52,정당인,47.25,,4.595119850134589,2
이병현,인천,계양구,,5,3,남,rem,67,,47.25,False,-2.4885919982273834,2
이병철,인천,계양구,구시군의장선거,5,3,남,rem,47,,47.25,False,-2.7365449541036377,2
이익진,인천,계양구,구시군의장선거,5,3,남,rem,69,,47.25,False,-0.8915569898700776,2
강범석,인천,서구,구시군의장선거,5,1,남,,44,정당인,47.25,False,,3
전년성,,서구,구시군의장선거,5,2,남,rev,67,정당인,47.25,True,4.595119850134589,3
박영기,인천,서구,구시군의장선거,5,3,남,rev,48,정당인,47.25,False,-2.9575152514358827,3
권중광,인천,서구,구시군의장선거,5,3,,rem,65,,47.25,False,-1.6115236583657602,3
유천호,인천,강화군,구시군의장선거,5,,남,con,59,정당인,47.25,False,,3
정해남,인천,강화군,구시군의장선거,5,2,남,rev,66,정당인,47.25,False,-0.8475732893695821,3
안덕수,인천,강화군,구시군의장선거,5,3,남,rem,64,,47.25,True,4.595119850134589,3
김윤영,인천,강화군,구시군의장선거,5,3,남,rem,61,,47.25,False,-2.771605921177873,3
유태명,광주,동구,구시군의장선거,5,2,남,rev,66,,47.25,True,,2
임택,광주,동구,구시군의장선거,5,3,남,rev,46,정당인,47.25,False,0.6298887181141215,2
임홍채,광주,동구,구시군의장선거,5,,,rem,47,,47.25,False,-0.808765926143765,2
하방수,광주,서구,구시군의장선거,5,1,남,con,44,정당인,47.25,False,,2
김선옥,광주,서구,구시군의장선거,5,2,여,rev,52,,47.25,False,4.595119850134589,2
강기수,광주,서구,구시군의장선거,5,3,남,rev,58,정당인,47.25,False,4.595119850134589,2
서대석,광주,서구,구시군의장선거,5,3,남,rev,48,정당인,47.25,False,4.595119850134589,2
전주언,광주,서구,구시군의장선거,5,3,남,rem,62,,47.25,True,4.595119850134589,2
성용재,광주,남구,구시군의장선거,5,1,남,con,62,,47.25,False,,2
최영호,광주,남구,구시군의장선거,5,2,남,rev,45,정당인,47.25,True,4.595119850134589,2
황일봉,,남구,구시군의장선거,5,3,남,rem,52,,47.25,False,4.595119850134589,2
송광운,광주,북구,구시군의장선거,5,2,남,rev,56,,47.25,True,,2
정형택,광주,,구시군의장선거,5,3,남,rev,45,,47.25,False,-0.5304225163379073,2
박창원,광주,광산구,구시군의장선거,5,1,남,con,39,,47.25,False,,2
민형배,광주,광산구,구시군의장선거,5,2,남,rev,48,,47.25,True,4.595119850134589,2
신중철,광주,광산구,구시군의장선거,5,3,남,rev,40,,,False,4.595119850134589,2
송병태,광주,광산구,구시군의장선거,5,3,남,rev,71,정당인,47.25,False,4.595119850134589,2
,대전,동구,구시군의장선거,5,1,남,con,,,47.25,False,,1
양승근,대전,동구,구시군의장선거,5,2,남,rev,60,,47.25,False,2.9826477199707244,1
한현택,대전,동구,구시군의장선거,5,3,남,con,54,정당인,47.25,True,4.595119850134589,1
박흥기,대전,동구,구시군의장선거,5,3,남,rem,44,정당인,47.25,False,-2.644421152533274,1
이은권,대전,중구,구시군의장선거,5,,남,con,51,,47.25,False,,3
남일,대전,중구,구시군의장선거,5,2,남,rev,49,정당인,47.25,False,1.3402035736715472,3
박용갑,대전,중구,구시군의장선거,5,3,남,con,53,정당인,47.25,True,4.595119850134589,3
오경근,대전,중구,구시군의장선거,5,3,남,rev,41,,47.25,False,-3.1861710444956177,3
조신형,대전,서구,구시군의장선거,5,1,남,con,47,,47.25,False,,2
장종태,대전,서구,구시군의장선거,5,2,남,rev,57,,47.25,False,4.595119850134589,2
박환용,대전,서구,구시군의장선거,5,3,남,con,60,정당인,47.25,True,4.595119850134589,2
정주신,대전,서구,구시군의장선거,5,3,남,rem,51,,47.25,False,-2.145626643497605,2
진동규,대전,유성구,구시군의장선거,5,1,남,con,52,,47.25,False,,2
허태정,대전,유성구,구시군의장선거,5,2,남,rev,44,정당인,47.25,True,4.595119850134589,2
송재용,대전,유성구,구시군의장선거,5,3,남,con,56,정당인,47.25,False,1.627206681279583,2
정용기,대전,대덕구,구시군의장선거,5,1,남,con,48,,47.25,True,,1
박영순,대전,대덕구,,5,2,남,rev,45,정당인,47.25,False,1.940828133035616,1
최충규,대전,대덕구,구시군의장선거,5,3,남,con,49,,47.25,False,2.8622398058238896,1
오노균,대전,대덕구,구시군의장선거,5,3,남,rem,53,,47.25,False,-2.235400798460024,1
박응용,대전,대덕구,구시군의장선거,5,3,남,rem,45,,47.25,False,-3.0331253190190224,1
박성민,울산,중구,구시군의장선거,5,1,남,con,51,,47.25,False,,1
임동호,울산,중구,구시군의장선거,5,2,남,,41,정당인,47.25,False,0.2715351369687617,1
이철수,울산,중구,구시군의장선거,,3,남,rem,63,,47.25,False,-1.786903126215486,1
조용수,울산,중구,구시군의장선거,5,3,남,rem,57,,47.25,,4.595119850134589,1
김두겸,울산,남구,구시군의장선거,,1,남,con,52,,47.25,True,,1
김진석,울산,남구,구시군의장선거,5,3,남,rev,46,정당인,47.25,False,3.630421538344805,1
정천석,울산,동구,구시군의장선거,5,,남,con,58,,47.25,True,,1
김종훈,울산,동구,구시군의장선거,5,3,남,rev,45,정당인,47.25,False,2.9060341306775244,1
류재건,울산,북구,구시군의장선거,5,1,남,con,49,,47.25,False,,
윤종오,울산,북구,구시군의장선거,5,3,남,rev,46,,47.25,,4.595119850134589,1
신장열,,울주군,구시군의장선거,5,,남,con,57,,47.25,True,,1
이선호,울산,울주군,구시군의장선거,5,3,남,rev,49,,47.25,False,-0.2834652734463733,1
김용원,울산,울주군,구시군의장선거,5,3,남,rem,62,,47.25,False,-1.7791620443910918,1
최병권,울산,울주군,,5,3,남,rem,59,,47.25,False,-1.1363370088439313,1
배병헌,울산,울주군,구시군의장선거,,3,남,rem,63,,47.25,False,-2.35818820080712,1
심재인,경기,수원시,구시군의장선거,5,1,남,con,58,,47.25,False,,2
