성명,선거구일,선거구이,여당평가,당선여부,득표수,학력,과목,경력지역,인지도,지역구분
이건형,경기,남양주시,51.225,False,-0.24179963561043716,,,,0.0032313024882146663,2
문경희,경기,남양주시,51.225,True,,고려대,행정,True,0.002767354399432004,2
이영환,경기,남양주시,51.225,False,-3.211045052119695,,행정,False,0.004970835814818505,2
박성환,경기,남양주시,51.225,False,-0.1262906644692914,연세대,행정,,0.007171158000377452,2
송낙영,경기,남양주시,51.225,True,,,,False,0.0001513627061645473,2
임두순,경기,남양주시,51.225,True,-0.014874223808012055,,,False,0.00032827447455056164,2
이연숙,경기,남양주시,51.225,False,,,행정,False,0.002466251587480418,2
김진만,경기,남양주시,51.225,False,-2.8799975339631283,,,False,0.020559788612047884,2
김성태,경기,남양주시,51.225,False,-0.03952495778498104,,,True,0.9535685136795479,2
이정애,경기,남양주시,51.225,True,,,,False,0.0028546634218838698,2
박천복,경기,오산시,51.225,False,-0.34875890957488465,,행정,True,0.010196656935266135,2
송영만,경기,오산시,51.225,True,,,,True,0.03242496790176741,2
석홍,,오산시,51.225,False,,,법,False,0.0004674718244116676,2
한현구,경기,오산시,51.225,False,-0.3982198409438194,,,True,0.04248498738174138,2
조재훈,경기,오산시,51.225,True,,,,False,0.6818496150987021,2
이순영,경기,,51.225,False,,,,True,0.23257630085811146,2
조재형,경기,화성시,51.225,False,-0.13530275986901766,,,False,0.12341686182932708,3
박윤영,경기,화성시,51.225,True,,고려대,경영,True,0.1727016235628265,3
김형삼,경기,화성시,51.225,False,-2.917749925842406,,,False,,3
최지용,경기,화성시,51.225,True,0.5136561806199871,,행정,True,0.04185153316420731,3
서병권,경기,화성시,51.225,False,,,경영,False,9.733913947314391e-05,3
김재필,경기,화성시,51.225,False,-3.0452112615839635,,행정,False,0.022694752203720508,3
백남영,경기,화성시,,False,-0.2930759523485665,,행정,False,0.022740968780860626,3
권칠승,경기,화성시,51.225,True,,고려대,경제,True,0.4003493102786504,3
최진선,경기,화성시,51.225,False,-3.1594774447750105,,,False,0.015756484711982637,3
홍상균,경기,화성시,51.225,False,-0.6417984553362065,,,False,0.0010791768159124707,3
조광명,경기,화성시,51.225,True,,고려대,,True,0.04461457374644776,3
