,성명,지역,선거구명,선거 종류,회차,기호,성별,정당명,연령,직업,여당평가,당선여부,득표수(득표율),학교,과목,경력_지역,인지도,지역구분
174,김수근,서울,서초구,국회의원,20,3,남,rem,32,,42.84,0,-3.7595958577006257,,경영,1,0.08406379564424428,1
175,이종구,서울,강남구,국회의원,20,1,남,con,65,정당인,42.84,1,0.14066091846505988,서울대,경제,0,0.06209035854347171,1
176,김성곤,서울,강남구,국회의원,20,2,남,rev,63,,42.84,0,-0.2370045719827579,,,0,0.023932901540697347,1
177,김종훈,서울,강남구,국회의원,20,1,남,con,63,,42.84,0,-0.2532762452649633,연세대,경영,0,0.05164908485864385,1
178,전현희,서울,강남구,국회의원,20,2,여,rev,51,,42.84,1,0.025370277510239868,고려대,법,0,0.1552885575210222,1
179,김광종,서울,강남구,국회의원,20,3,남,rem,53,,42.84,0,-3.1631662388320936,서울대,외교,0,0.001794587091658011,1
180,이은재,서울,강남구,국회의원,20,1,여,con,64,,42.84,1,0.23852298672116048,,행정,0,0.7006306736026101,1
181,전원근,서울,강남구,국회의원,20,2,남,rev,62,정당인,42.84,0,-0.4765324720094455,,정치,0,0.001456651107932351,1
182,양한별,서울,강남구,국회의원,20,3,남,rem,59,정당인,42.84,0,-4.138184478290545,,법,0,0.0012274731074596822,1
183,양영철,서울,강남구,국회의원,20,3,남,con,71,,42.84,0,-4.646139714534846,고려대,,0,0.001929712626504684,1
184,박인숙,서울,송파구,국회의원,20,1,여,con,67,,42.84,1,-0.2604208091336536,서울대,,1,0.14541366708695808,1
185,박성수,서울,송파구,국회의원,20,2,남,rev,51,,42.84,0,-0.3545060875714968,고려대,법,0,0.018643684494792843,1
186,김창남,서울,송파구,국회의원,20,3,남,rev,46,,42.84,0,-1.7994437068282827,,행정,0,0.006580735512734173,1
187,최명길,서울,송파구,국회의원,20,2,남,rev,55,정당인,42.84,1,-0.2717426366180687,서울대,정치,0,0.534035477431937,1
188,이래협,서울,송파구,국회의원,20,3,남,rev,58,,42.84,0,-1.7578866388101753,,경제,1,0.0005246996814688674,1
189,김영순,서울,송파구,국회의원,20,3,여,rem,66,,42.84,0,-0.45299217077039305,,정치,0,0.00570623436057971,1
190,채현,서울,송파구,국회의원,20,3,남,rem,45,,42.84,0,-4.212992889631631,고려대,법,0,0.009058058133336804,1
191,김을동,서울,송파구,국회의원,20,1,여,con,70,,42.84,0,-0.4370644285811756,,법,0,0.23682830323212622,1
192,남인순,서울,송파구,국회의원,20,2,여,rev,57,,42.84,1,-0.22611243650545493,,,0,0.042324498940911726,1
193,차성환,서울,송파구,국회의원,20,3,남,rev,54,정당인,42.84,0,-1.7150700050075085,연세대,행정,1,0.0008846411251546922,1
194,신동우,서울,강동구,국회의원,20,1,남,con,62,,42.84,0,-0.3806518225041929,,경영,0,0.10174720227368875,1
195,진선미,서울,강동구,국회의원,20,2,여,rev,48,,42.84,1,-0.2665921271371092,,법,0,0.18873544640117743,1
196,신동만,서울,강동구,국회의원,20,3,남,rev,49,,42.84,0,-1.9275121388647514,,,1,0.0012750633091368256,1
197,박승진,서울,강동구,국회의원,20,3,남,rem,48,,42.84,0,-3.7187368916600025,,경영,0,0.001830312760883143,1
198,이재영,서울,강동구,국회의원,20,1,남,con,40,,42.84,0,-0.5084485314122528,연세대,행정,0,0.46666736459871416,1
199,심재권,서울,강동구,국회의원,20,2,남,rev,69,,42.84,1,-0.37590868138641353,,정치,0,0.02571935159782975,1
200,강연재,서울,강동구,국회의원,20,3,여,rev,40,,42.84,0,-1.3454041062154982,고려대,경제,0,0.21402525905856995,1
201,김무성,부산,중구 영도구,국회의원,20,1,남,con,64,,42.84,1,,,경영,0,0.89742660417378,1
202,김비오,부산,중구 영도구,국회의원,20,2,남,rev,47,정당인,42.84,0,,연세대,법,0,0.1002514943116955,1
203,이선자,부산,중구 영도구,국회의원,20,3,여,rem,31,,42.84,0,,,,1,0.002321901514524636,1
204,유기준,부산,서구동구,국회의원,20,1,남,con,56,,42.84,1,,,법,0,0.8701423236613469,1
205,이재강,부산,서구동구,국회의원,20,2,남,rev,53,정당인,42.84,0,,,정치,0,0.09925812025911888,1
206,임정석,부산,서구동구,국회의원,20,3,남,rem,50,,42.84,0,,,경영,0,0.03059955607953423,1
207,나성린,부산,부산진구,국회의원,20,1,남,con,63,,42.84,0,-0.16730177024015783,,경제,0,0.03635394547069007,1
208,김영춘,부산,부산진구,국회의원,20,2,남,rev,54,정당인,42.84,1,-0.04487973769394202,고려대,정치,0,0.7317838684268331,1
209,오승철,부산,부산진구,국회의원,20,3,남,rem,58,,42.84,0,-3.214126118343698,,정치,1,0.02123515218774352,1
210,이헌승,부산,부산진구,국회의원,20,1,남,con,52,,42.84,1,-0.12115719620063072,고려대,경영,1,0.07784302506827716,1
211,조영진,부산,부산진구,국회의원,20,2,남,rev,49,정당인,42.84,0,-0.9067180834517402,,경영,1,0.08021718694279463,1
212,이덕욱,부산,부산진구,국회의원,20,3,남,rev,49,,42.84,0,-1.5284163069212748,서울대,법,1,0.008131304242642995,1
213,김재하,부산,부산진구,국회의원,20,3,남,rem,55,,42.84,0,-2.9268317912945214,,,1,0.044435517661018525,1
214,이진복,부산,동래구,국회의원,20,1,남,con,58,,42.84,1,-0.32327786551745125,,행정,0,0.7623982414556498,1
215,김우룡,부산,동래구,국회의원,20,2,남,rev,52,,42.84,0,-1.1660379718026672,,경영,0,0.050000909938087944,1
